id,nset1,nset2,nset3,nset4,nset5,nset6,nset7,nset8,nset9,nset10,nset11,nset12,mset1,mset2,mset3,mset4,mset5,mset6,mset7,mset8,mset9,mset10,mset11,mset12,TotAmt,TotTrans
41315,0,0.208333333,0,0.041666667,0.416666667,0,0.291666667,0.041666667,0,0,0,0,0,0.224489791,0,0,0.341568196,0,0.345864669,0.088077344,0,0,0,0,358438.26,24
41371,0,0.94,0,0,0.04,0.02,0,0,0,0,0,0,0,0.985999991,0,0,0.013000006,0.001000003,0,0,0,0,0,0,641578.16,50
41379,0,0.047619048,0.714285714,0,0.095238095,0,0,0.095238095,0,0,0.047619048,0,0,0.038000001,0.315000001,0,0.006999999,0,0,0.283999998,0,0,0.356000001,0,1246310.22,21
41393,0,0,0,0.392857143,0,0,0,0,0,0.428571429,0.178571429,0,0,0,0,0.005000001,0,0,0,0,0,0.321999999,0.672999999,0,1655977.55,28
41394,0,0.096774194,0.096774194,0.064516129,0.064516129,0.419354839,0,0.161290323,0,0,0.032258065,0.064516129,0,0.033333329,0.197777778,0.036666662,0.066666671,0.339999994,0,0.085555558,0,0,0.184444447,0.055555562,722187.1,31
41395,0,0.166666667,0,0.5,0.083333333,0,0,0,0,0,0.166666667,0.083333333,0,0.074000008,0,0.057000006,0.15599999,0,0,0,0,0,0.605999994,0.107000002,225638.22,12
41396,0,0.285714286,0,0.428571429,0,0,0,0.285714286,0,0,0,0,0,0.757000015,0,0.000999959,0,0,0,0.242000026,0,0,0,0,106964.41,7
41402,0,0.052631579,0.473684211,0,0,0.473684211,0,0,0,0,0,0,0,0.114999992,0.621000011,0,0,0.263999997,0,0,0,0,0,0,377911.33,19
41403,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,84719.27,11
41432,0,0,0.5,0,0.454545455,0,0,0.045454545,0,0,0,0,0,0,0.108359137,0,0.865841065,0,0,0.025799798,0,0,0,0,1103089.26,22
